date,1. open,2. high,3. low,4. close,5. volume
2025-01-28,17.08,17.47,16.955,17.15,29817403.0
2025-01-27,16.82,17.54,16.705,17.2,40497957.0
2025-01-24,16.845,17.34,16.55,16.96,37782479.0
2025-01-23,17.3,17.536,16.73,17.03,94892398.0
2025-01-22,19.085,19.1,18.37,18.66,58392393.0
2025-01-21,18.52,18.65,18.27,18.64,30731602.0
2025-01-17,18.55,18.57,18.16,18.27,20438502.0
2025-01-16,18.02,18.33,17.78,18.29,22031769.0
2025-01-15,18.54,18.56,17.97,18.07,20401951.0
2025-01-14,17.79,18.24,17.79,18.21,26175829.0
2025-01-13,17.915,17.98,17.32,17.6,28427221.0
2025-01-10,17.93,18.45,17.8,18.38,43954004.0
2025-01-08,17.53,17.72,17.075,17.6,23093606.0
2025-01-07,17.58,17.99,17.53,17.69,25491193.0
2025-01-06,17.64,17.94,17.38,17.52,31834608.0
2025-01-03,17.03,17.03,16.27,16.97,23806983.0
2025-01-02,17.4,17.63,16.83,17.0,19027519.0
2024-12-31,17.63,17.7488,17.35,17.43,12704607.0
2024-12-30,17.27,17.73,17.15,17.62,20436357.0
2024-12-27,17.19,17.38,17.01,17.35,29500525.0
2024-12-26,17.07,17.39,17.05,17.35,10383937.0
2024-12-24,17.0,17.36,16.8,17.35,14234339.0
2024-12-23,16.87,17.27,16.87,17.25,15777167.0
2024-12-20,16.57,17.18,16.53,16.88,28664937.0
2024-12-19,16.65,16.795,16.48,16.64,17832697.0
2024-12-18,16.77,17.28,16.26,16.47,25019523.0
2024-12-17,16.45,16.74,16.22,16.72,23622031.0
2024-12-16,16.91,16.955,16.46,16.52,15741028.0
2024-12-13,17.28,17.31,16.81,16.92,20174294.0
2024-12-12,17.61,17.8,17.225,17.24,17692173.0
2024-12-11,17.61,17.74,17.41,17.58,20711765.0
2024-12-10,17.95,18.205,17.37,17.49,34174838.0
2024-12-09,17.52,17.52,17.01,17.16,29732962.0
