date,1. open,2. high,3. low,4. close,5. volume
2025-01-29,221.82,229.47,214.61,228.63,69838762.0
2024-12-31,227.5,239.35,217.6523,219.83,81535689.0
2024-11-29,207.77,230.36,204.07,227.41,77280587.0
2024-10-31,220.63,237.37,203.51,206.72,105624376.0
2024-09-30,201.91,224.15,199.335,221.08,83415811.0
2024-08-30,192.81,202.17,181.81,202.13,65453729.0
2024-07-31,173.45,196.26,173.38,192.14,81258646.0
2024-06-28,166.54,178.4599,163.53,172.95,70706301.0
2024-05-31,165.69,175.46,162.62,166.85,78620355.0
2024-04-30,190.0,193.28,165.2605,166.2,98297181.0
2024-03-28,185.49,199.18,185.18,190.96,99921776.0
2024-02-29,183.63,188.95,178.75,185.03,88679550.0
2024-01-31,162.83,196.9,157.885,183.66,128121557.0
2023-12-29,158.41,166.34,158.0,163.55,87358302.0
2023-11-30,145.0,158.6,144.45,158.56,78460252.0
2023-10-31,140.04,144.76,135.87,144.64,94386980.0
2023-09-29,147.26,151.9299,139.61,140.3,82806487.0
2023-08-31,144.25,147.7275,139.76,146.83,84274205.0
2023-07-31,133.42,144.605,131.55,144.18,85778938.0
2023-06-30,128.44,139.469,127.78,133.81,100722016.0
2023-05-31,126.35,130.0699,120.55,128.59,95710890.0
2023-04-28,130.97,132.61,124.56,126.41,83664114.0
2023-03-31,128.9,131.48,121.71,131.09,138093084.0
2023-02-28,134.49,137.39,128.86,129.3,76080679.0
2023-01-31,141.1,147.18,132.98,134.73,105576019.0
2022-12-30,149.98,153.21,137.195,140.89,86426226.0
2022-11-30,138.25,150.46,133.97,148.9,93620235.0
2022-10-31,120.16,138.8615,115.545,138.29,113480787.0
2022-09-30,128.4,130.99,118.61,118.81,87256958.0
2022-08-31,130.75,139.34,128.4,128.45,77392342.0
2022-07-29,141.0,141.87,125.13,130.79,129801061.0
2022-06-30,139.67,144.73,132.85,141.19,105815743.0
2022-05-31,133.0,139.83,125.8,138.84,113207659.0
2022-04-29,129.66,141.88,124.91,132.21,107525264.0
2022-03-31,122.67,133.08,120.7,130.02,96447210.0
2022-02-28,133.76,138.82,118.81,122.51,98492968.0
2022-01-31,134.07,142.2,124.193,133.57,147238382.0
2021-12-31,118.25,134.99,116.56,133.66,113930079.0
2021-11-30,125.05,127.29,114.56,117.1,119252012.0
2021-10-29,141.0,146.0,124.62,125.1,144097758.0
2021-09-30,139.98,140.57,132.78,138.93,76644238.0
2021-08-31,141.45,144.7,137.21,140.34,69687056.0
2021-07-30,146.96,147.5,136.2089,140.96,110625907.0
2021-06-30,145.0,152.84,143.04,146.59,84365220.0
2021-05-28,143.81,148.515,140.92,143.74,98036425.0
2021-04-30,133.76,148.74,130.38,141.88,122920494.0
2021-03-31,120.35,137.07,118.755,133.26,127967821.0
2021-02-26,119.9,124.35,118.12,118.93,106339228.0
2021-01-29,125.85,132.24,117.36,119.11,176168962.0
2020-12-31,123.9,127.69,121.72,125.88,102587006.0
2020-11-30,112.65,125.313,111.16,123.52,103461100.0
2020-10-30,122.36,135.5,105.92,111.66,159130911.0
2020-09-30,122.85,129.95,116.48,121.67,84510174.0
2020-08-31,123.5,130.47,122.15,123.31,74033007.0
2020-07-31,120.27,132.17,115.2,122.94,113972765.0
2020-06-30,124.64,135.88,115.88,120.77,120931250.0
2020-05-29,123.19,126.97,111.81,124.9,92864791.0
2020-04-30,106.36,129.31,104.52,125.56,130400316.0
2020-03-31,130.75,136.1,90.56,110.93,189585053.0
2020-02-28,144.25,158.75,126.36,130.15,118092333.0
2020-01-31,135.0,145.79,133.2,143.73,112864967.0
2019-12-31,134.45,136.42,130.69,134.04,71661951.0
2019-11-29,134.5,139.14,132.75,134.45,64898948.0
2019-10-31,145.59,147.35,130.9,133.73,92647927.0
2019-09-30,134.85,146.57,133.33,145.42,62083780.0
2019-08-30,148.9,152.95,128.83,135.53,96719129.0
2019-07-31,139.6,151.94,139.13,148.24,80175943.0
2019-06-28,127.1,140.15,127.06,137.9,61342985.0
2019-05-31,140.55,141.81,126.85,126.99,75537897.0
2019-04-30,141.51,145.39,136.26,140.27,80199229.0
2019-03-29,139.31,142.12,133.58,141.1,74688899.0
2019-02-28,134.97,140.49,132.12,138.13,68462024.0
2019-01-31,112.01,135.41,111.69,134.42,120388583.0
2018-12-31,125.67,126.59,105.94,113.67,115600988.0
2018-11-30,115.5,125.06,114.54,124.27,141719180.0
2018-10-31,151.71,154.36,114.09,115.43,198093801.0
2018-09-28,145.98,153.35,144.81,151.21,95868702.0
2018-08-31,144.76,147.93,142.0,146.48,79196876.0
2018-07-31,138.28,150.54,138.2,144.93,95015127.0
2018-06-29,142.43,147.52,137.45,139.7,90243111.0
2018-05-31,144.65,146.2,139.9,141.31,88812832.0
2018-04-30,153.34,162.0,144.11,144.96,122893135.0
2018-03-29,155.53,162.11,148.54,153.43,92113147.0
2018-02-28,163.19,164.13,144.4,155.83,100673819.0
2018-01-31,154.5,171.13,153.54,163.7,140197975.0
2017-12-29,154.4,157.85,151.49,153.42,87525752.0
2017-11-30,154.1,154.9,146.211,153.97,89208545.0
2017-10-31,145.35,162.51,145.21,154.06,121490046.0
2017-09-29,142.98,147.42,141.64,145.08,77056229.0
2017-08-31,145.0,145.67,139.13,143.03,79260314.0
2017-07-31,153.58,156.025,143.64,144.67,91242021.0
2017-06-30,152.8,157.2,150.8,153.83,82652760.0
2017-05-31,160.05,160.42,149.79,152.63,102455942.0
2017-04-28,173.82,176.33,159.6,160.29,80758989.0
2017-03-31,180.48,182.55,172.0937,174.14,79476385.0
