date,1. open,2. high,3. low,4. close,5. volume
2025-01-28,105.94,109.04,105.92,109.03,754330.0
2025-01-27,104.58,106.46,103.42,105.83,390001.0
2025-01-24,104.15,104.77,102.2,104.64,390386.0
2025-01-23,104.79,104.79,101.61,103.67,531980.0
2025-01-22,104.0,105.01,103.4,104.73,473158.0
2025-01-21,103.87,104.9989,103.0,104.4,696265.0
2025-01-17,102.01,103.23,101.71,102.9,1026182.0
2025-01-16,101.31,102.24,100.22,102.07,316706.0
2025-01-15,100.62,101.95,100.31,101.53,431374.0
2025-01-14,98.39,100.05,96.99,99.89,990169.0
2025-01-13,95.23,96.2,94.87,95.64,363249.0
2025-01-10,96.99,98.21,96.02,96.16,444945.0
2025-01-08,95.74,99.34,95.39,98.14,434456.0
2025-01-07,95.9,96.78,95.26,95.86,450439.0
2025-01-06,95.74,96.69,95.31,96.02,718080.0
2025-01-03,96.07,96.66,95.28,95.89,448106.0
2025-01-02,96.96,97.86,95.44,96.07,378434.0
2024-12-31,96.74,97.525,96.42,96.72,681931.0
2024-12-30,97.21,97.66,95.85,96.5,388408.0
2024-12-27,98.24,98.61,96.6775,97.295,282273.0
2024-12-26,97.76,98.69,97.505,98.44,227246.0
2024-12-24,97.53,98.21,96.79,98.08,166322.0
2024-12-23,98.08,98.33,96.64,97.61,324300.0
2024-12-20,95.94,99.04,95.51,98.22,1448458.0
2024-12-19,97.58,98.18,96.17,96.27,468986.0
2024-12-18,99.45,100.735,96.54,97.13,551984.0
2024-12-17,100.35,101.91,98.87,99.0,681873.0
2024-12-16,102.52,103.4809,101.965,102.31,251952.0
2024-12-13,104.32,104.51,102.58,102.76,405479.0
2024-12-12,105.22,106.295,103.78,104.75,416809.0
2024-12-11,106.0,108.075,105.155,105.52,613121.0
2024-12-10,102.37,104.64,101.88,103.79,427952.0
2024-12-09,104.41,104.81,101.565,102.09,317576.0
2024-12-06,105.6,105.855,104.18,104.4,386522.0
2024-12-05,105.23,105.365,103.75,104.7,405032.0
2024-12-04,104.57,105.698,103.62,105.49,222697.0
2024-12-03,105.1,105.5578,104.055,104.82,405499.0
2024-12-02,103.69,105.34,102.95,104.83,310629.0
2024-11-29,104.19,104.34,103.35,103.9,148808.0
2024-11-27,104.02,105.66,103.54,103.66,292558.0
2024-11-26,104.88,106.01,102.98,104.0,351500.0
2024-11-25,105.12,106.09,104.77,104.92,565303.0
2024-11-22,105.71,106.87,104.52,105.33,277355.0
2024-11-21,104.55,105.44,103.25,105.03,399341.0
2024-11-20,104.05,104.49,102.97,104.08,345173.0
2024-11-19,103.32,104.75,102.5801,104.71,254557.0
2024-11-18,101.95,104.5,101.95,103.94,355632.0
2024-11-15,101.61,102.1,100.595,101.83,440418.0
2024-11-14,101.64,102.21,100.76,101.2,358800.0
2024-11-13,104.5,104.73,101.5559,101.68,331348.0
2024-11-12,104.36,105.455,103.895,104.24,521166.0
2024-11-11,102.94,105.15,102.23,104.1,511429.0
2024-11-08,102.49,103.4631,100.9501,102.74,629786.0
2024-11-07,102.49,102.8809,101.36,101.97,438341.0
2024-11-06,99.5,102.53,99.31,102.48,710840.0
2024-11-05,97.68,98.93,97.05,98.79,756411.0
2024-11-04,98.73,99.68,97.76,99.08,427977.0
2024-11-01,98.65,99.62,97.32,98.8,392724.0
2024-10-31,96.0,100.41,93.62,98.66,915700.0
2024-10-30,95.41,95.82,94.63,94.9,435759.0
2024-10-29,94.67,96.445,94.65,95.9,393029.0
2024-10-28,96.23,96.71,94.935,95.31,348416.0
2024-10-25,96.1,96.86,95.27,96.0,279168.0
2024-10-24,95.45,96.225,95.31,95.87,228524.0
2024-10-23,95.1,95.64,94.32,95.35,240318.0
2024-10-22,95.43,95.795,94.415,95.59,194686.0
2024-10-21,96.71,96.95,94.57,95.5,262364.0
2024-10-18,95.69,96.53,95.19,96.48,198146.0
2024-10-17,95.6,96.0,94.855,95.27,245888.0
2024-10-16,95.0,96.02,94.62,95.25,745589.0
2024-10-15,96.33,97.48,95.5,95.67,524439.0
2024-10-14,94.42,95.78,94.42,95.52,247670.0
2024-10-11,94.21,95.18,93.89,94.35,239975.0
2024-10-10,94.7,95.29,93.71,93.76,579759.0
2024-10-09,95.53,96.2,95.08,95.61,167163.0
2024-10-08,95.11,96.0,94.785,95.68,312043.0
2024-10-07,95.18,95.66,94.35,94.69,308305.0
2024-10-04,96.41,96.61,95.44,95.63,200904.0
2024-10-03,96.26,96.6,95.7,95.9,281234.0
2024-10-02,97.09,97.825,96.32,96.62,332779.0
2024-10-01,98.41,98.71,97.425,97.61,317353.0
2024-09-30,97.55,99.353,97.52,98.83,541120.0
2024-09-27,98.13,98.94,97.46,97.68,210787.0
2024-09-26,98.2,98.405,97.3,97.55,344722.0
2024-09-25,99.92,100.88,97.92,98.18,330895.0
2024-09-24,99.85,100.025,99.135,99.6,271249.0
2024-09-23,99.93,101.6,99.32,100.0,353681.0
2024-09-20,100.2,100.2975,98.9,99.56,938253.0
2024-09-19,99.22,101.255,99.005,100.23,555851.0
2024-09-18,98.01,100.29,97.27,98.71,429543.0
2024-09-17,99.65,100.325,98.385,98.51,589964.0
2024-09-16,97.99,100.1,97.87,99.64,765652.0
2024-09-13,96.34,97.1575,95.91,96.16,475731.0
2024-09-12,97.3,97.565,95.92,95.98,486401.0
2024-09-11,96.3,97.4,95.295,97.15,283652.0
2024-09-10,97.43,98.03,95.45,96.76,530947.0
2024-09-09,96.85,98.04,96.575,97.46,477516.0
2024-09-06,97.35,98.0236,95.79,96.58,595337.0
2024-09-05,96.26,97.44,95.27,97.41,404743.0
2024-09-04,95.58,96.6703,93.2664,96.26,319346.0
