date,1. open,2. high,3. low,4. close,5. volume
2025-01-28,121.81,129.0,116.25,128.99,579666350.0
2025-01-27,124.8,128.4,116.7,118.42,818830895.0
2025-01-24,148.37,148.97,141.88,142.62,234657635.0
2025-01-23,145.05,147.23,143.72,147.22,155915549.0
2025-01-22,144.66,147.79,143.67,147.07,237651395.0
2025-01-21,139.16,141.83,137.09,140.83,197748985.0
2025-01-17,136.69,138.5,135.4649,137.71,201188760.0
2025-01-16,138.64,138.75,133.49,133.57,209235583.0
2025-01-15,133.65,136.45,131.29,136.24,185217338.0
2025-01-14,136.05,136.38,130.05,131.76,195590485.0
2025-01-13,129.99,133.49,129.51,133.23,204808914.0
2025-01-10,137.45,139.92,134.22,135.91,207602514.0
2025-01-08,142.58,143.95,137.56,140.11,227349948.0
2025-01-07,153.03,153.13,140.01,140.14,351782174.0
2025-01-06,148.59,152.156,147.8201,149.43,265377359.0
2025-01-03,140.01,144.9,139.73,144.47,229322478.0
2025-01-02,136.0,138.88,134.63,138.31,198247166.0
2024-12-31,138.03,138.07,133.83,134.29,155659211.0
2024-12-30,134.83,140.27,134.02,137.49,167734700.0
2024-12-27,138.55,139.02,134.71,137.01,170582603.0
2024-12-26,139.7,140.85,137.73,139.93,116519090.0
2024-12-24,140.0,141.9,138.65,140.22,105156989.0
2024-12-23,136.28,139.79,135.1201,139.67,176053506.0
2024-12-20,129.81,135.28,128.22,134.7,306528553.0
2024-12-19,131.76,134.03,129.55,130.68,209719210.0
2024-12-18,133.86,136.7,128.28,128.91,277444533.0
2024-12-17,129.09,131.59,126.86,130.39,259410263.0
2024-12-16,134.18,134.4,130.42,132.0,237951130.0
2024-12-13,138.94,139.6,132.54,134.25,231514881.0
2024-12-12,137.08,138.44,135.8,137.34,159211393.0
2024-12-11,137.36,140.17,135.21,139.31,184905192.0
2024-12-10,139.01,141.82,133.79,135.07,210020888.0
2024-12-09,138.97,139.95,137.13,138.81,189308625.0
2024-12-06,144.6,145.7,141.31,142.44,188505573.0
2024-12-05,145.11,146.54,143.95,145.06,172621180.0
2024-12-04,141.995,145.79,140.29,145.14,231224295.0
2024-12-03,138.26,140.54,137.95,140.26,164413965.0
2024-12-02,138.83,140.45,137.825,138.63,171682777.0
2024-11-29,136.78,139.35,136.05,138.25,141863156.0
2024-11-27,135.01,137.22,131.8,135.34,226370912.0
2024-11-26,137.7,139.3,135.67,136.92,190287654.0
2024-11-25,141.99,142.05,135.82,136.02,344941875.0
2024-11-22,145.93,147.16,141.1,141.95,236406154.0
2024-11-21,149.35,152.89,140.7,146.67,400946570.0
2024-11-20,147.41,147.56,142.73,145.89,309871654.0
2024-11-19,141.32,147.13,140.99,147.01,227834912.0
2024-11-18,139.5,141.55,137.15,140.15,221865993.0
2024-11-15,144.87,145.24,140.08,141.98,250132869.0
2024-11-14,147.64,149.0,145.55,146.76,194463301.0
2024-11-13,149.07,149.33,145.9,146.27,191903267.0
2024-11-12,146.78,149.65,146.01,148.29,198634738.0
2024-11-11,148.68,148.85,143.57,145.26,182325620.0
2024-11-08,148.77,149.77,146.26,147.63,175665830.0
2024-11-07,146.39,148.93,146.17,148.88,207323303.0
2024-11-06,142.96,146.49,141.96,145.61,242043945.0
2024-11-05,137.45,140.3701,137.33,139.91,160537373.0
2024-11-04,137.21,138.96,135.57,136.05,187528173.0
2024-11-01,134.7,137.31,134.57,135.4,207127838.0
2024-10-31,137.6,137.61,132.1106,132.76,270039641.0
2024-10-30,139.54,140.33,136.81,139.335,179418082.0
2024-10-29,140.285,142.2598,138.9,141.25,157593634.0
2024-10-28,143.0,143.14,140.05,140.52,173586745.0
2024-10-25,140.93,144.13,140.8,141.54,205122109.0
2024-10-24,140.82,141.35,138.46,140.41,172354888.0
2024-10-23,142.03,142.43,137.46,139.56,285930038.0
2024-10-22,142.91,144.42,141.78,143.59,226311589.0
2024-10-21,138.13,143.71,138.0,143.71,264554514.0
2024-10-18,138.665,138.9,137.28,138.0,176090184.0
2024-10-17,139.34,140.89,136.87,136.93,306435921.0
2024-10-16,133.98,136.62,131.58,135.72,264879720.0
2024-10-15,137.87,138.57,128.74,131.6,377831021.0
2024-10-14,136.47,139.6,136.3,138.07,232347668.0
2024-10-11,134.01,135.78,133.66,134.8,170209474.0
2024-10-10,131.91,135.0,131.0,134.81,242311337.0
2024-10-09,134.11,134.52,131.38,132.65,246191612.0
2024-10-08,130.26,133.48,129.42,132.89,285722485.0
2024-10-07,124.99,130.64,124.95,127.72,346250233.0
2024-10-04,124.94,125.04,121.83,124.92,244465552.0
2024-10-03,120.92,124.36,120.3401,122.85,277117973.0
2024-10-02,116.44,119.38,115.14,118.85,221845887.0
2024-10-01,121.765,122.4351,115.79,117.0,302094485.0
2024-09-30,118.31,121.5,118.15,121.44,227053651.0
2024-09-27,123.97,124.03,119.26,121.4,271009175.0
2024-09-26,126.8,127.665,121.8,124.04,302582868.0
2024-09-25,122.02,124.94,121.61,123.51,284692948.0
2024-09-24,116.515,121.8,115.38,120.87,354966772.0
2024-09-23,116.55,116.99,114.86,116.26,206228490.0
2024-09-20,117.06,118.6181,115.3901,116.0,382462428.0
2024-09-19,117.35,119.66,117.25,117.87,293506438.0
2024-09-18,115.89,117.7,113.22,113.37,310318937.0
2024-09-17,118.17,118.8,114.83,115.59,231925876.0
2024-09-16,116.79,118.18,114.36,116.78,248772308.0
2024-09-13,119.08,119.955,117.6,119.1,238358328.0
2024-09-12,116.84,120.79,115.38,119.14,367100496.0
2024-09-11,109.39,117.19,107.42,116.91,441422370.0
2024-09-10,107.81,109.4,104.95,108.1,268283736.0
2024-09-09,104.88,106.55,103.69,106.47,273912015.0
2024-09-06,108.04,108.15,100.95,102.83,413638098.0
2024-09-05,104.985,109.65,104.76,107.21,306850696.0
2024-09-04,105.41,113.27,104.12,106.21,368378810.0
