date,1. open,2. high,3. low,4. close,5. volume
2025-01-28,600.62,605.37,597.25,604.52,44433322.0
2025-01-27,594.81,599.69,594.64,599.37,70361125.0
2025-01-24,609.81,610.78,606.8,607.97,34604693.0
2025-01-23,605.8,609.75,605.52,609.75,41152102.0
2025-01-22,605.92,607.82,605.36,606.44,48195973.0
2025-01-21,600.67,603.06,598.67,603.05,42532853.0
2025-01-17,596.96,599.36,595.61,597.58,58070628.0
2025-01-16,594.175,594.35,590.93,591.64,43319662.0
2025-01-15,590.325,593.94,589.195,592.78,56900159.0
2025-01-14,584.36,585.0,578.35,582.19,48420580.0
2025-01-13,575.77,581.75,575.35,581.39,47910060.0
2025-01-10,585.88,585.95,578.55,580.49,73105046.0
2025-01-08,588.7,590.5799,585.195,589.49,47304672.0
2025-01-07,597.42,597.75,586.78,588.63,60393052.0
2025-01-06,596.27,599.7,593.6,595.36,47679442.0
2025-01-03,587.53,592.6,586.43,591.95,37888459.0
2025-01-02,589.39,591.13,580.5,584.64,50203975.0
2024-12-31,589.905,590.6399,584.42,586.08,57052654.0
2024-12-30,587.89,591.74,584.41,588.22,56578757.0
2024-12-27,597.54,597.7761,590.7647,595.01,64969310.0
2024-12-26,599.5,602.48,598.0825,601.34,41338891.0
2024-12-24,596.06,601.34,595.47,601.3,33160097.0
2024-12-23,590.89,595.3,587.661,594.69,57635828.0
2024-12-20,581.77,595.75,580.91,591.15,125716674.0
2024-12-19,591.36,593.0,585.85,586.1,85919452.0
2024-12-18,603.98,606.405,585.89,586.28,108248729.0
2024-12-17,604.19,605.17,602.885,604.29,55773545.0
2024-12-16,606.0,607.7795,605.21,606.79,43695179.0
2024-12-13,606.4,607.13,602.81,604.21,35904730.0
2024-12-12,606.58,607.16,604.33,604.33,31543812.0
2024-12-11,605.78,608.435,605.5,607.46,28677723.0
2024-12-10,605.37,605.8,602.13,602.8,37234515.0
2024-12-09,607.69,607.86,604.08,604.68,34742738.0
2024-12-06,607.44,609.07,607.02,607.81,31241549.0
2024-12-05,607.66,608.48,606.305,606.66,28762183.0
