date,1. open,2. high,3. low,4. close,5. volume
2025-01-28,27.57,27.755,27.47,27.6,247184.0
2025-01-27,27.45,27.68,27.32,27.56,285407.0
2025-01-24,27.5,27.69,27.41,27.44,242098.0
2025-01-23,27.62,27.74,27.41,27.67,449654.0
2025-01-22,27.48,28.09,27.45,27.78,611562.0
2025-01-21,26.85,27.715,26.85,27.45,597124.0
2025-01-17,26.62,27.06,26.5672,27.01,325307.0
2025-01-16,27.0,27.5,26.91,27.01,458181.0
2025-01-15,26.94,27.98,26.895,26.91,790121.0
2025-01-14,24.31,24.64,24.31,24.61,286742.0
2025-01-13,23.64,24.22,23.61,24.14,208671.0
2025-01-10,24.24,24.24,23.82,23.84,377960.0
2025-01-08,24.74,24.85,24.42,24.79,226322.0
2025-01-07,24.86,25.17,24.84,24.95,288019.0
2025-01-06,24.59,25.18,24.49,24.87,203873.0
2025-01-03,24.06,24.52,23.94,24.48,329521.0
2025-01-02,25.12,25.3499,25.03,25.13,131782.0
2024-12-31,24.86,25.2,24.8575,25.01,123367.0
2024-12-30,24.88,24.92,24.65,24.85,132335.0
2024-12-27,24.7,24.9,24.605,24.85,143950.0
2024-12-26,24.19,24.465,24.14,24.35,105961.0
2024-12-24,24.24,24.37,24.095,24.19,61736.0
2024-12-23,24.43,24.525,24.1,24.23,165905.0
2024-12-20,24.47,24.55,24.38,24.45,156445.0
2024-12-19,24.66,24.72,24.35,24.48,165604.0
2024-12-18,24.84,24.97,24.243,24.27,191280.0
2024-12-17,25.0,25.08,24.81,24.84,217965.0
2024-12-16,24.76,25.04,24.74,24.9,233132.0
2024-12-13,24.59,24.635,24.36,24.4,93432.0
2024-12-12,24.74,24.78,24.43,24.47,112620.0
2024-12-11,25.07,25.08,24.8,24.86,87092.0
2024-12-10,25.42,25.43,25.14,25.2,74788.0
2024-12-09,25.77,25.77,25.2,25.29,117858.0
2024-12-06,26.39,26.4,25.98,26.03,76332.0
2024-12-05,26.1,26.58,26.08,26.48,199229.0
2024-12-04,25.57,26.03,25.51,25.78,192539.0
2024-12-03,25.33,25.8,25.28,25.64,314866.0
2024-12-02,24.7,25.17,24.64,25.08,368116.0
2024-11-29,25.6,25.6,24.5,24.82,425020.0
2024-11-27,25.68,25.74,25.47,25.59,56140.0
2024-11-26,26.01,26.02,25.6,25.61,55147.0
2024-11-25,26.4,26.64,26.4,26.6,78411.0
2024-11-22,26.34,26.41,26.13,26.4,89606.0
2024-11-21,26.15,26.4,26.06,26.29,109327.0
2024-11-20,25.87,26.11,25.83,26.1,62712.0
2024-11-19,25.68,25.97,25.59,25.93,47724.0
2024-11-18,26.33,26.367,26.19,26.2,51516.0
2024-11-15,26.52,26.6,26.35,26.54,41991.0
2024-11-14,26.77,26.93,26.62,26.64,66607.0
2024-11-13,26.42,26.49,25.96,26.09,117306.0
2024-11-12,26.64,26.84,26.22,26.35,137621.0
2024-11-11,27.44,27.56,27.2562,27.5,78451.0
2024-11-08,26.73,27.18,26.52,27.14,225806.0
2024-11-07,26.7,27.1,26.405,26.41,124399.0
2024-11-06,26.92,26.92,26.63,26.87,64560.0
2024-11-05,27.25,27.34,27.09,27.32,34089.0
2024-11-04,27.06,27.15,26.785,26.88,85926.0
2024-11-01,27.59,27.61,26.78,26.81,85060.0
2024-10-31,27.73,27.73,27.34,27.56,74294.0
2024-10-30,28.17,28.17,27.75,27.8,59470.0
2024-10-29,28.26,28.3799,27.87,27.87,81908.0
2024-10-28,27.71,28.0,27.69,27.8,68777.0
2024-10-25,28.24,28.24,27.7,27.72,80272.0
2024-10-24,27.83,28.26,27.66,28.21,150000.0
2024-10-23,27.17,27.605,27.17,27.58,149568.0
2024-10-22,27.05,27.44,27.03,27.4,89519.0
2024-10-21,27.37,27.47,27.2048,27.4,61260.0
2024-10-18,27.07,27.55,26.98,27.49,132536.0
2024-10-17,27.04,27.48,27.01,27.41,80733.0
2024-10-16,27.02,27.15,26.86,27.08,107217.0
2024-10-15,27.28,27.4,27.23,27.27,111118.0
2024-10-14,26.55,27.17,26.53,27.17,108896.0
2024-10-11,26.66,26.84,26.55,26.81,71703.0
2024-10-10,26.72,26.72,26.361,26.56,47727.0
2024-10-09,26.69,26.84,26.67,26.79,53435.0
2024-10-08,26.72,26.955,26.64,26.88,44705.0
2024-10-07,26.72,26.78,26.48,26.5,24158.0
2024-10-04,26.5,26.7,26.46,26.67,26567.0
2024-10-03,26.7,26.71,26.53,26.53,25143.0
2024-10-02,26.64,26.8582,26.58,26.72,31506.0
2024-10-01,27.15,27.15,26.68,26.84,57390.0
2024-09-30,27.192,27.28,27.06,27.12,97579.0
2024-09-27,27.84,27.84,27.645,27.76,35030.0
2024-09-26,28.11,28.29,27.9801,28.12,59433.0
2024-09-25,28.47,28.47,28.09,28.11,48816.0
2024-09-24,28.2,28.752,28.1656,28.65,45141.0
2024-09-23,28.14,28.25,28.0201,28.07,73409.0
2024-09-20,27.63,27.84,27.5,27.84,177408.0
2024-09-19,27.34,27.5818,27.18,27.39,59485.0
2024-09-18,26.97,27.31,26.92,26.98,33634.0
2024-09-17,27.12,27.13,26.74,26.77,30555.0
2024-09-16,27.31,27.4,27.21,27.29,33937.0
2024-09-13,27.04,27.43,27.04,27.26,67262.0
2024-09-12,26.45,26.82,26.43,26.72,29954.0
2024-09-11,26.51,26.56,26.33,26.53,51552.0
2024-09-10,26.51,26.86,26.38,26.8,59117.0
2024-09-09,26.42,26.64,26.3,26.54,33026.0
2024-09-06,26.59,26.65,26.35,26.36,64628.0
2024-09-05,26.75,26.84,26.53,26.63,139244.0
2024-09-04,26.25,26.64,26.25,26.48,102247.0
